,Date,Tweet
28,2022-05-23 17:40:08+00:00,"HSBC is in damage control mode after one of the bank's senior executives, Stuart Kirk, said the risks of climate change had been overblown. “Who cares if Miami is six meters underwater in 100 years?” he said at a conference last week.
https://t.co/1HDlp00Hkp"
29,2022-05-23 17:30:06+00:00,"Early voting turnout in Georgia’s primary elections surged past previous milestones, signaling an energized electorate in a newly minted political battleground and setting off a fresh debate over the state’s recently passed voting law. https://t.co/kT7UxAyxlb"
30,2022-05-23 17:20:06+00:00,"Guy Fieri, TV’s spike-haired rhapsodist of roadside eats, is still playing it for laughs. But he’s also winning food-world respect as a sort of graying eminence. https://t.co/6Zthw0GBfc https://t.co/kYxd0Ez466"
31,2022-05-23 17:16:05+00:00,"The Spice Girls first topped the charts 25 years ago, but their legacy is still being written. Join Spice Girl
@MelanieCmusic and the reporters @jen_harlan and @Alisha__g as they discuss the group’s impact. DM questions to @nytimesevents. Join us live now. https://t.co/8HiYKzZvbf"
32,2022-05-23 16:45:07+00:00,"Russians invited guests to the Russia House at Switzerland's World Economic Forum for years. A Ukrainian has now changed it to the ""Russian War Crimes House"" to rally people at the annual event to commit to the business of arming and rebuilding Ukraine. https://t.co/1R6Xq1a56X"
33,2022-05-23 16:17:19+00:00,"The NYPD released photos of the suspect in a fatal shooting of a rider on a subway train in Lower Manhattan on Sunday and asked New Yorkers to help locate him. “We need all eyes on this,” Police Commissioner Keechant Sewell said on Monday. https://t.co/arpoop0wvl"
34,2022-05-23 16:15:03+00:00,"The New York Times’s publication of “The Ransom” is a groundbreaking report laying out history’s role in Haiti’s poverty.

Here are some of the latest reactions and updates from the project. https://t.co/5DZzOSNAJr"
35,2022-05-23 15:45:07+00:00,"Meta, which owns Facebook and Instagram, will give researchers more information on how political ads are targeted across its platform, providing insight into the ways that politicians and campaigners buy and use ads ahead of the midterm elections.
https://t.co/I33r86da0i"
36,2022-05-23 15:30:18+00:00,"Starbucks announced on Monday that it was officially exiting its business in Russia, closing 130 stores there and halting the shipment of any Starbucks products. https://t.co/K2AixC2aTw"
37,2022-05-23 15:10:05+00:00,"There is no universal definition of long Covid, but clues about causes and potential treatments are beginning to emerge. Here's what we know so far. https://t.co/eG6jWLW1v1"
38,2022-05-23 15:00:30+00:00,"The experts @wirecutter spent dozens of hours researching different sunscreens and wearing them outdoors to find options that are protective, affordable, and feel good on skin. https://t.co/ID0IhIGRUp"
39,2022-05-23 14:45:04+00:00,"Lara Logan’s path has been one of the most puzzling in TV news history — CBS News once saw her as a next-generation star, but she now promotes far-right falsehoods and conspiracies. Former colleagues say her transformation did not come out of nowhere. https://t.co/Zw6NjME652 https://t.co/ArQ2PlKTJ6"
40,2022-05-23 14:30:08+00:00,"Many runners at the National Senior Games in Miramar, Florida, were between 75 and 99 years old and didn’t pick up running until they were in their 60s. They had plenty of advice for younger runners who hope to follow in their footsteps. https://t.co/1ectWvvad9"
41,2022-05-23 14:20:04+00:00,"A Ukrainian court convicted a Russian soldier of war crimes, the first such verdict since Russia’s invasion began.

Sgt. Vadim Shishimarin was sentenced to life in prison for shooting a 62-year-old civilian, Oleksandr Shelipov, in the first days of the war.https://t.co/Ois7ZJ9VBy"
42,2022-05-23 14:16:06+00:00,"President Volodymyr Zelensky, addressing the World Economic Forum in Davos, Switzerland, invited business leaders whose companies are leaving Russia to bring their firms to Ukraine to help rebuild his country.
https://t.co/TV1uaCa2Tw https://t.co/KyYA3PU22U"
43,2022-05-23 14:15:03+00:00,"Customs agents in Detroit intercepted the larvae and pupae of an unidentified insect inside seed pods in a passenger’s luggage. The insect turned out to be a species of moth not seen since 1912, officials said.
https://t.co/AZkNeK7x8G"
44,2022-05-23 14:10:28+00:00,"Breaking News: A Russian diplomat resigned over the Ukraine invasion, describing it as a crime.

“Never have I been so ashamed of my country,” he said.
https://t.co/wTEGNYQ1VK"
45,2022-05-23 14:10:05+00:00,"A shipment of baby formula arrived in the U.S. from Europe on a military plane on Sunday to help address a nationwide shortage. A second flight with additional supplies is set to arrive this week, the White House said.
https://t.co/jDNBDYAufb https://t.co/Tnh8FbStZO"
46,2022-05-23 14:05:05+00:00,"The French bank CIC will hire researchers to study its history in Haiti, the head of its parent company said, after The New York Times published what he called a “sad illustration” of the bank’s role in an “ecosystem of colonialism.”
https://t.co/zknpQxuq9o"
47,2022-05-23 14:01:02+00:00,"Jonathan Mitchell, the architect of the law that sharply curtailed abortions in Texas, has turned his attention to arguing against affirmative action.
https://t.co/8XYPYyysYI"
48,2022-05-23 13:32:02+00:00,"North Korea reported “a positive trend” in tackling the country’s Covid outbreak, according to state-run news media. The claim is a shift in tone from the government after it ordered “maximum emergency” controls last week to fight the virus.
https://t.co/vT3bmFVcut"
49,2022-05-23 13:20:03+00:00,"A failed attempt by Russian forces to cross the Donets River in eastern Ukraine this month left hundreds of soldiers dead.

Its aftermath has prompted rare criticism from the strongest supporters of Russia’s military. Listen to today’s episode of The Daily.https://t.co/tv8BYB7K3y"
50,2022-05-23 13:10:05+00:00,"Philadelphia reinstated its mask mandate in schools in response to rising coronavirus cases.
https://t.co/4oj2JxBy1D"
51,2022-05-23 13:05:06+00:00,"France’s new prime minister, Élisabeth Borne, has talked sparingly about her past. But interviews suggest the death of her father, a Jew who was part of the resistance in Nazi-occupied France and who survived deportation to Auschwitz, helped set her path.
https://t.co/uRNYZivVM6"
52,2022-05-23 13:00:00+00:00,"A gunman fatally shot, without provocation, a 48-year-old man on a subway train in Lower Manhattan on Sunday, the police said. The attacker has not been caught. https://t.co/r4ghMCh0fs"
53,2022-05-23 12:44:04+00:00,"Want to know why you played so well — or so badly — in Wordle 338? Meet WordleBot, your daily wordle companion that will tell you how efficient and lucky you were — and it could help improve your results. https://t.co/JLfAzp4vDd https://t.co/9eyv5Cwaw5"
54,2022-05-23 12:30:12+00:00,"The Spice Girls first topped the charts 25 years ago, but their legacy is still being written. Join Spice Girl @MelanieCmusic and the reporters @jen_harlan and @/Alisha__g as they discuss the group’s cultural impact. DM questions to @nytimesevents. https://t.co/8HiYKzZvbf"
55,2022-05-23 12:21:04+00:00,"Amanda Anisimova, a 20-year-old American, knocked Naomi Osaka out of the French Open, defeating her in the first round.

“A very tough match, and going out there I knew I had to play good tennis, and the conditions weren’t easy,” Anisimova said.
https://t.co/O6IZU7v3Xr"
56,2022-05-23 12:00:03+00:00,"A bank that helped finance the Eiffel Tower, one of the world’s best known landmarks, drained millions of dollars from Haiti. That history has been all but erased — but The New York Times tracked the money.

Here’s what to know. 
https://t.co/xx7fmMzEvR https://t.co/wyPgLKoo6i"
57,2022-05-23 11:33:54+00:00,"Breaking News: Pfizer and BioNTech said preliminary findings showed that three doses of their vaccine produced a strong response in children under 5.
https://t.co/qvjzZE1yDT"
58,2022-05-23 11:30:13+00:00,"Weeks before the Trump administration ended, Jared Kushner and Steven Mnuchin met with future investors on trips to the Middle East. The travels raise questions about whether they sought to exploit relationships with foreign leaders for business interests. https://t.co/YrCk9gDOBJ"
59,2022-05-23 11:15:09+00:00,"President Biden said the U.S. would use military force to defend Taiwan if China attacked, appearing to step away from a policy of “strategic ambiguity” and repeating even more unequivocally statements that his staff tried to walk back in the past.
https://t.co/uIoK63VSeH https://t.co/X98M3ri4jl"
60,2022-05-23 11:00:02+00:00,Read six takeaways from what a team of New York Times correspondents learned about what Haiti was forced to pay after overthrowing France during the modern world’s most successful slave revolt — and what it has cost Haitians to be free. https://t.co/Fth5csUcpG https://t.co/6sbbKhih9j
61,2022-05-23 10:54:03+00:00,"Breaking News: A Ukrainian court convicted a Russian soldier of war crimes and sentenced him to life in prison, the first such verdict since the invasion began.
https://t.co/dBNbBHqISu https://t.co/L9H2zSGrDr"
62,2022-05-23 10:27:05+00:00,"The rare monkeypox virus has spread in unusual ways this year. But while a Covid-weary world is on high alert for new outbreaks, there are several reasons it is not being treated with the same level of concern as the coronavirus.

Here’s what to know.
https://t.co/hJoT7L34if"
63,2022-05-23 10:14:48+00:00,"Haiti is the only country in the world where descendants of enslaved people were forced to pay reparations to descendants of its masters for generations.

Nobody knew exactly how much Haiti paid France — and at what cost to its future — until now. https://t.co/mjv4pbxJWD"
64,2022-05-23 10:00:15+00:00,"Russian forces have destroyed or damaged more than 350 cultural and historic sites in Ukraine since their invasion, according to the country’s culture minister. 
 
“The cultural heritage of the Kharkiv region has suffered the most,” he said. https://t.co/TkRrf9VfvO"
65,2022-05-23 09:44:06+00:00,"“Russia’s aggression against Ukraine undermines the foundation of global order,” Prime Minister Fumio Kishida of Japan told President Biden during a meeting in Tokyo.
https://t.co/tlz1uigREq https://t.co/qJzVdtcXh3"
66,2022-05-23 09:30:08+00:00,A bank that helped finance the Eiffel Tower drained millions of dollars from Haiti. That history has been all but erased — but The New York Times tracked the money. https://t.co/RTz7dZD28k
67,2022-05-23 09:00:07+00:00,"President Biden on Sunday began the second chapter of his diplomatic tour in Asia. He will meet with leaders from Australia, India and Japan as he rolls out a new economic agenda. https://t.co/ZW1Frhb0Lc"
68,2022-05-23 08:30:11+00:00,"At least six people in Canada were killed and hundreds of thousands of customers remained without power after a line of thunderstorms cut a violent path across parts of Quebec and Ontario on Saturday, according to Environment Canada. https://t.co/V0tGezYKYs"
69,2022-05-23 08:00:10+00:00,At least seven people were killed and more than a hundred were pulled from the sea after a passenger ferry caught fire in the Philippines. The vessel was carrying 124 passengers and 10 crew members. https://t.co/qfKMdq9LTa
70,2022-05-23 07:44:40+00:00,Breaking News: President Biden will begin an economic bloc with a dozen Asia-Pacific nations meant to counter China and reassert U.S. influence in the region. The alliance comes five years after Donald Trump’s withdrawal from the Trans-Pacific Partnership. https://t.co/Q9LEaovLOL
71,2022-05-23 07:30:05+00:00,Russia’s invasion of Ukraine has generated enormous demand in both Ukraine and friendly Western governments for an accounting of Russian military actions. Times reporting has found evidence of several potential war crimes. https://t.co/WbKmiY7C3f
72,2022-05-23 06:58:24+00:00,"Breaking news: President Biden said the U.S. would defend Taiwan militarily if China invaded, appearing to step away from a policy of “strategic ambiguity.” https://t.co/tSqWNtucPI"
73,2022-05-23 06:25:05+00:00,"The experts @wirecutter researched more than 80 cookware sets and rigorously tested more than a dozen to find options that are durable, heat evenly, and will help you become a better home cook. https://t.co/sSJOeFbF5I"
74,2022-05-23 05:25:06+00:00,"Israel’s latest government crisis was resolved on Sunday, at least temporarily, when a lawmaker who quit the coalition late last week agreed to return to it, snatching back the tiny majority that its opposition held over the weekend. https://t.co/u8JAy2A0Zd"
75,2022-05-23 04:25:03+00:00,"Heavy pre-monsoon rains in India and Bangladesh have washed away train stations, towns and villages, leaving millions of people homeless as extreme weather events become more common in South Asia. https://t.co/FHdZ1i0Kp9"
76,2022-05-23 03:25:03+00:00,"In the shadow of Iran's crackdown on demonstrations against rising food prices, authorities have also gone after a widely celebrated sector of society: filmmakers. Experts call it the largest repression of Iran’s cinema industry in years. https://t.co/DogVz5EgXe"
77,2022-05-23 02:25:06+00:00,"America’s network of H.B.C.U.s was founded to provide essential opportunity. For many, they’ve come to offer something else: a link to a treasured legacy. https://t.co/8BHDaa9IgV https://t.co/jDaQYvWeaK"
78,2022-05-23 01:25:03+00:00,"By collecting, melting, reforming and packaging partially used soap left behind by hotel guests, Clean The World has distributed nearly 70 million bars of soap in more than 120 countries — including Romania, where many Ukrainian refugees have arrived.
https://t.co/oZf12MCnGC"
79,2022-05-23 00:25:04+00:00,"The perfect gift for a new college graduate is one that's fun, but useful. The things @wirecutter recommends will help them ease into adulting. https://t.co/QshBKMs9DN"
80,2022-05-22 23:57:35+00:00,"Weeks before the Trump administration ended, Jared Kushner and Steven Mnuchin met with future investors on trips to the Middle East. The travels raise questions about whether they sought to exploit relationships with foreign leaders for business interests. https://t.co/KflAktROxt https://t.co/SrNHp1W4Ph"
81,2022-05-22 23:55:05+00:00,"Zain Khalid, Adam Levin and Leila Mottley — three authors with new books this summer — discuss their new novels and what brought them to write about a young woman in trouble, three brothers from Staten Island and an anxious parrot. https://t.co/PSdrT6GoQd"
82,2022-05-22 23:40:04+00:00,"Donald Trump humiliated Mo Brooks, a hard-right Alabama congressman, by rescinding an endorsement for him in a Senate race. But Brooks seems to be making an unlikely comeback — showing that a Trump endorsement may not determine votes for Trump supporters. https://t.co/dcSxwbBoKN"
83,2022-05-22 23:27:43+00:00,"Breaking News: Southern Baptist leaders mishandled sex abuse claims and resisted reforms over concerns of “potential liability,” a third-party report alleges. https://t.co/A32uuOe6AW"
84,2022-05-22 23:25:04+00:00,"Ukrainian and Russian forces traded fresh blows on Sunday near Sievierodonetsk, as Moscow renewed its push toward the city, one of the last major Ukrainian strongholds in a key part of the east. https://t.co/n3KEmZbss8"
85,2022-05-22 22:55:01+00:00,"An enormous monument to the Communist Party in Bulgaria is now a decrepit ruin. The country is wrestling with how to deal with a symbol of an unwanted and, in many ways, deeply ugly past. https://t.co/Vn4RpNZGp9"
86,2022-05-22 22:40:07+00:00,"A line of thunderstorms cut a violent path across parts of Ontario and Quebec on Saturday, killing multiple people and leaving hundreds of thousands without power, according to Environment Canada. https://t.co/KJJGTXN1UD https://t.co/7ySA6ldnEM"
87,2022-05-22 22:25:02+00:00,"In Opinion

“This is Hollywood in the post-#MeToo era: doubtlessly safer, certainly more restrained and cautious to the point of inhibiting improvisation,” writes Pamela Paul. But worthy efforts to protect against misbehavior can carry their own risks. https://t.co/cGJD11z0mY"
