,tweetcreatedts,text,language,username
9,2022-02-15 21:33:20+00:00,@nytimes Ukraine and Russia must be wary of US troops posing as Russian troops to provoke war.,en,duliaoran
10,2022-02-15 21:33:15+00:00,@nytimes It would be a tragic mistake for Russia to invade. I think Putin will withdraw most forces soon. #NoWarInUkraine,en,rklotz
11,2022-02-15 21:32:39+00:00,"@nytimes What conflict?  Using ""conflict"" makes it sound like Russia has invaded already.",en,KenLutze
12,2022-02-15 21:11:04+00:00,@nytimes @Max_Fisher Putin never said about invade Ukraine! This is the US/UK mídia and oportunistas politicians!,en,LuizZanin5
13,2022-02-15 20:44:23+00:00,@nytimes @Max_Fisher Russia is the sole instigator. Ridiculous to frame this as you have.,en,PenceNewAgnew
14,2022-02-15 20:37:39+00:00,@nytimes This shit gets better and better by the day. It's like aged Russian cheese \n#BoycottOlympics #Russia,en,McSuzy666
15,2022-02-15 20:30:13+00:00,@nytimes Kamala Valieva isn't the first Russian competitor to use a banned heart medication and won't be the last. Wasn't Russian tennis player Sharapova banned for taking heart medication? Cheating is part of Russia's  sports system. Olympics bosses are too cowardly to deal with it.,en,RicardoWinters8
16,2022-02-15 20:16:19+00:00,@nytimes Fuck that shit let go to War with Russia they caused Covid have duped our wise leaders and will destroy our fabricated world .,en,Drew68346308
17,2022-02-15 20:14:33+00:00,"@nytimes Well, thank god Russia doesn’t have a history of doping and that she didn’t have THC in her system, otherwise we would have had a real problem.",en,ds_massie
18,2022-02-15 20:10:12+00:00,@nytimes One might wonder why Russian athletes are currently not participating officially as Russia. Maybe the shit ton of doping they do?,en,Emunator1
19,2022-02-15 20:05:39+00:00,@nytimes She should have been stripped of the title and sent home immediately! I don’t care what her age! You are telling her what you or your country has done is 100 ok with the committee! Russia should be banned for a long term from the games! SHAME ON YOU IOC shame on you all!!!!!,en,MyerOk
20,2022-02-15 19:58:15+00:00,"@nytimes Russia was caught cheating again, paid off the IOC, again, and now here you are helping them cover it up and lie about it.",en,SkepticClaus
21,2022-02-15 19:52:19+00:00,"@nytimes Blah, blah, blah \nIOC embolden Russia doping at the expense of CLEAN athletes.",en,denisewu
22,2022-02-15 19:31:37+00:00,@nytimes Then we should just go and take the Russian gas. Just like they already took part of Ukraine.,en,DavidBolen19
23,2022-02-15 19:30:47+00:00,@nytimes I’m not watching the Olympics anymore. They just made it about the money. Russia paid money for the dope addict to skate. Anyone can win taking drugs. That’s why all the other athletes don’t do it.,en,RonaldFraley5
24,2022-02-15 19:15:30+00:00,"@nytimes Thanks to your lies, Gen Z just lost a billion in funding that could have paid for college tuition, that instead, goes to fund Ukraine's oligarchy like Burisma. No accountability of these funds, and no security that Ukraine won't just attack Russia and claim to be the victim!",en,Manwhosolditall
25,2022-02-15 19:11:19+00:00,"@nytimes Maybe he could get some of the $81,000,000,000 in weaponry he left to terrorists in Afghanistan to Ukraine.",en,EVK96
26,2022-02-15 19:10:59+00:00,@nytimes NATO....\n\nFin...\n\nIt's not US vs Russia.,en,Sportsfeeder1
27,2022-02-15 19:00:47+00:00,@nytimes Russia corrupted the Olympics is how. Anything else said is bs.,en,hrcsupervol01
28,2022-02-15 18:52:34+00:00,@nytimes The western propaganda machine in full swing!!! Which part of Ukraine is this from?? Why don’t they migrate to the US??,en,ENG89480755
29,2022-02-15 18:27:45+00:00,@nytimes In Russia it's really*Girl's Figure Skating* I see no Women competing in these Olympics.,en,comehithercreek
30,2022-02-15 18:13:56+00:00,@nytimes @itskerri Kamila is a Tartar. Minority ethnic Muslin in Russia.,en,JerryGodell
31,2022-02-15 17:10:58+00:00,@nytimes I never watch the Olympics ever again as long as Russia’s involved snd maybe just never again period,en,doctordan102710
32,2022-02-15 17:03:49+00:00,@nytimes No @itskerrii .  This about the Russians are about to invade TF out of #Ukraine and the world is doing what it can to prevent that.  #worldpolitics baby!,en,El5andman
33,2022-02-15 17:03:02+00:00,@nytimes #Russia should not be in the Olympics.,en,Rafael_T
34,2022-02-15 16:47:16+00:00,@nytimes The Kamilia is only being allowed because the Olympic committee is corrupt and Russia pays.#BoycottBeijing2022,en,jaywhohuh
35,2022-02-15 16:31:55+00:00,"@nytimes @Laurie_Garrett Wow, Russia is full of gas.",en,ebcola
36,2022-02-15 16:29:23+00:00,@nytimes Russia is a nation of gangsters period. They can relate well to a jerk like Bolsanaro.,en,CitizenColumn
37,2022-02-15 16:25:30+00:00,"@nytimes All of this on top of the fact that Russia as a country shouldn't even be allowed to field a team in any event due to previous doping scandals. But they get around it by forming an ""independent"" Russian team.",en,SheaBainter
38,2022-02-15 16:13:38+00:00,"@nytimes as always, Ukraine and Europe have prepared for war with the Russians, and these Russians have not come to war.🤣🤣🤣",en,betabw26
39,2022-02-15 16:06:44+00:00,"@nytimes Shrug. Public health rules are for public health. NO athlete should be too special for rules. \nIf the events were to change for HIS selfish freedumb, public health rules would be as much a joke as apparently doping in skating now is, thanks to the Olympics caving to Russia",en,TanSuitPlease
40,2022-02-15 16:04:24+00:00,"@nytimes I would be more concerned about China's economic role in South America,  Europe, Africa,  Asia and Australia.   Countries far away may not notice the awfulness of Putin but everyone near Russia does.",en,NV96308613
41,2022-02-15 16:02:54+00:00,@nytimes Russia: We gonna invade Ukraine because they wanna join NATO!\n\n*Putin pulls back for more diplomatic talk\n\nNYT: Let’s ask NATO’s opinion on this!,en,floatingartist
42,2022-02-15 15:56:15+00:00,@nytimes It’s all political….Russia and china’s relationship..simple,en,favorableMzp
43,2022-02-15 15:44:30+00:00,"@nytimes The idea that somehow #ROC has a firewall been it and #Russia state athletics is just another grift in the dependable culture of deceit running Russian sports. All the skaters are likely &amp; willingly doped, one failed to make it through the cheating. The whole thing is appalling.",en,stevendwoodruff
44,2022-02-15 15:43:34+00:00,"@nytimes @Laurie_Garrett However Russia needs the market they provide. It’s a mutually beneficial arrangement. I believe NATO  members who can, have offered to replace the source to give strength in negotiations.",en,flaxponder
45,2022-02-15 15:39:46+00:00,"@nytimes China and Russia have pushed the IOC around in the name of world peace (or at least their piece of it,) for the last 20 years.",en,Boiarski
46,2022-02-15 15:36:18+00:00,@nytimes 😂😂so silly. MSM wants a war soo bad they are trying to start it themselves with dangerous misinformation. Probably because their ratings are in the crapper. Still haven't seen any evidence of Russia doing anything....except the Cia said so 🙄 🤔 🤦🏽😂😂,en,JDz64
47,2022-02-15 15:33:52+00:00,"@nytimes American media psychos want to propagandize people into thinking that Putin meeting with whatever person means ""Russia is expanding their circle of influence...""",en,DFBbear
48,2022-02-15 15:26:02+00:00,"@nytimes Like Kim Jung Un &amp; his missiles, Putin wants to pressure the West to vacate his neighbors so he can rule unchecked.  He should be surrounded by NATO members &amp; reminded that Russia is never going to be the USSR again.",en,o_darci
49,2022-02-15 15:20:55+00:00,@nytimes AND Ukraine says there is no threat. Come on @nytimes  stop war mongering.,en,Filthy_blond
50,2022-02-15 15:18:47+00:00,@nytimes The Russians are already in Ukraine.  There’s no war. Just a civil war.,en,Matthew71227846
51,2022-02-15 15:17:12+00:00,@nytimes This is nonsense. Russia is not a *good guy* but they are stationing troops on their borders with the Ukraine where the US has been organising &amp; funding &amp; arming Nazi militias since 2014 who with CIA *observers* have ethnically cleansed Russian communities in the Ukraine.,en,DKruku
52,2022-02-15 15:16:22+00:00,"@nytimes Even if she wins gold, it will literally mean nothing in the eyes of the International community. Russia has tainted their athletes once again, for who knows how many years to come.",en,ZiggyA91
53,2022-02-15 15:07:52+00:00,@nytimes Russia: we don't want war\nUkraine: we don't want war\nUSA: war is going star soon,en,1234lduk
54,2022-02-15 15:06:18+00:00,@nytimes I never thought I would praise Trump but even he recognised that NATO has been aggressively expanding. with no mandate from the people. Remember how the USA reacted when Russia wanted to put missiles in Cuba?,en,Propagandahunt
55,2022-02-15 14:53:12+00:00,"@nytimes What a rich full resources countries in Latin but their mind could not give opputunities to use them for citizen &amp; keeping them under cold war pressure, so Ukraine burden also drag into Latin for decline the development, "" increase mind pressure for????",en,VKanagasingam
56,2022-02-15 14:47:55+00:00,@nytimes Durham’s filings are more than linked to the democrats it links the Clinton campaign directly to the Trump servers and the fake Trump Russia collusion,en,raybert761
57,2022-02-15 14:37:32+00:00,@nytimes Lot of people in the world are more afraid of US than of Russia,en,Futurlux
58,2022-02-15 14:33:56+00:00,@nytimes Ok lady hear it is plane and simple.. in America and for team America you don't do dope and get away with it. If your wondering the why in Russia some one doped but is still competing is because your an American! If you don't like it go be a Russian seriously. Don't go crying !,en,William05360341
59,2022-02-15 14:18:52+00:00,@nytimes Russia loves to cheat and won’t hesitate to exploit anyone including 15 year olds to ‘win’.,en,johnalfie4
60,2022-02-15 14:03:47+00:00,@nytimes Ban her and Russia and let the others have their moment!,en,Lizzy_JF
61,2022-02-15 14:02:01+00:00,@nytimes Why have rules at all? Russia has been cheating for like 20 year now 🙄🙄 if it was anyone else they would not have been able to skate.,en,davo_miz
62,2022-02-15 13:49:05+00:00,@nytimes Go ahead Russia. I'm sure Ukraine will join NATO immediately after you make that move,en,SM0352
63,2022-02-15 13:46:05+00:00,@nytimes She should threaten to invade Ukraine.,en,J20365735
64,2022-02-15 13:45:00+00:00,"@nytimes This is the same bullshit excuse he used to invade Crimea that the Russian's in Ukraine have to be saved.  This is the kind of excuse Hitler used to invade, Poland, and some other countries.  Beware!",en,TomCher05739999
65,2022-02-15 13:44:46+00:00,"@nytimes How can Putin consider an all-out invasion of Ukraine involving aerial attacks and a land assault against a country whose people have close social and economic ties with Russians and families, friends, and religious partners living in Russia? \nZalinsky is right, don't panic US!",en,wrs_willoughby
66,2022-02-15 13:43:17+00:00,"@nytimes The wars that the US has unleashed since 1945: Korea, Vietnam, ... Iraq ... 26! But the aggressor is still Russia.",en,stupinom
67,2022-02-15 13:39:32+00:00,"@nytimes No war, Russia said so.\n\nBrandon failed to war.",en,vlakosv
68,2022-02-15 13:36:57+00:00,@nytimes Is Putin now the good guy stopping the break up of Ukraine? :-),en,Imokyoureokok
69,2022-02-15 13:25:55+00:00,@nytimes Russia is just as dependent selling the gas to them as they are for buying it.,en,Flyingalexande1
70,2022-02-15 13:24:41+00:00,"@nytimes eu doesn't want war, you US do. you don't want Euro exceed US dollar, and want russia die.\nThe gas is paid in EURO!",en,GhostZqx
71,2022-02-15 13:23:59+00:00,"@nytimes Russia is a single crop economy, if it were to stop selling gas and oil to Europe, it would be financially ruined. So technically, Europe has a huge amount of leverage over Russia right now.",en,gjbeedie
72,2022-02-15 13:16:14+00:00,"@nytimes, did you tell people Europe (see Germany's Merkel) had a choice of getting away from being dependent on Russia's natural gas and they didn't do anything, just like California with water? https://t.co/9Lm1mhmyR7",en,OlgaPana1
73,2022-02-15 13:13:18+00:00,@nytimes Ukraine is a sovereign state. They have the right to chose their destiny. Putin has single-handedly kept Russia a dysfunctional backwater kleptocratic oligarchy- why would a country want to align itself with him?,en,TD56781139
74,2022-02-15 13:10:25+00:00,@nytimes Just another reason why we need to transition away from fossil fuels. Relying on Russia and the Middle East for oil and gas is a bad arrangement. Just like relying on China to manufacture everything. Stop doing business with tyrannies!,en,tobyglanville
75,2022-02-15 13:07:38+00:00,@nytimes So are we going to go to war with Russia to defend Ukrainian energy interests? Anyone over there at that shit show bothered to do their job and ask the old man in chief if Hunter promised Burisma that everything would be alright ?,en,Michael_Tubbs
76,2022-02-15 13:04:55+00:00,@nytimes I bet dependence on USA instead of Russia would be fine for you.,en,rotovisor
77,2022-02-15 13:03:10+00:00,@nytimes This is what happens when dems shut down US oil while allowing Russia to operate a pipeline directly into Europe,en,AJA1111121
78,2022-02-15 12:40:57+00:00,"@nytimes Russia won't let Ukraine in peace!!! This is a copy paste of Iraq invasion of Kuwait ... persistent low level threats, sudden build up &amp; pull down of military around border areas, then out of nowhere AN INVASION!!",en,Jeddahwood
79,2022-02-15 11:49:55+00:00,"@nytimes Russia does this military drill every year. Ukraine asks for billions in aid when this happens.\n\nFor whatever reason, the western media blew up a false narrative Russia was going to attack. The reporting has been absolutely beyond horrendous.",en,JustMe1988c
80,2022-02-15 11:48:16+00:00,@nytimes Why? Because Biden and NATO stand strong. Not like trump. He tried to fragment NATO and would have let Russia walk right in without a word.\n\nThis is why we need NATO and a strong president. And Putin is wishing slave boy trump was still in office!,en,dumpthattrump16
81,2022-02-15 11:45:55+00:00,@nytimes ....maybe Russia can send them some humanitarian aid.,en,TovarischRom
82,2022-02-15 11:41:35+00:00,@nytimes Tell that to local Greeks in Ukraine killed by the Ukrainian soldiers!!\n\nThat happened bc of your antI-Orthodox propaganda and forcing everybody to join it.\n\nIt didn't start just now.\nYou're doing that to me since 2013!!,en,PlatoNyc
83,2022-02-15 11:34:11+00:00,"@nytimes Don’t believe it, he wants Ukraine.",en,beamerofjoy
84,2022-02-15 11:26:27+00:00,@nytimes Russia was always out of your propaganda lie. it didn't threat to attack Ukraine. that was wasswa propaganda who invented this. and now you should apologise for lie.,en,jay_sixth
85,2022-02-15 11:19:03+00:00,"@nytimes Good, Russia got mostly what it wanted anyway. But Ukraine will never join NATO. Putin will make sure he gets a written binding document either from  EU or zelenski",en,umer_ri
86,2022-02-15 11:14:53+00:00,"@nytimes The fact is that Russia has been stressing that it will not invade Ukraine, and we all know that war is not good for Russia. But the US and UK have been trying to portray Putin as both a political strongman controlling Russia and a reckless war maniac.",en,dyy_james
87,2022-02-15 11:09:40+00:00,@nytimes So Russia blinked.,en,redbaroque
88,2022-02-15 11:09:39+00:00,"@nytimes So the IOC assumes Valieva will win gold, so no medal ceremonies.  What about the athletes who win second and 3rd place?  Why should they be denied their moment?\n\nIf IOC really cared, Russia would be completely banned, not allowed 2B repackaged under a different name, every 4yrs.",en,ShippinOut31
89,2022-02-15 11:09:01+00:00,"@nytimes Did the tone actually shift, or was the President of Ukraine right all along and the US full of crap for the n-thousandth time?",en,powerchowder69
90,2022-02-15 10:54:02+00:00,"@nytimes Putin’s foreign minister can say the sanctions don’t scare Russia, but they sure don’t want the US to destroy that massive oil tanker in Ukraine he’s been drooling over. \n#ThankYouPresidentBiden telling him we’d make it nonoperational the minute he attacks,brilliant.\nPutin⬇️ https://t.co/AEopmFTRbO",en,deep_mowgli
91,2022-02-15 10:52:21+00:00,@nytimes The difference is that she's got Russia behind her.,en,kehlarc
92,2022-02-15 10:04:26+00:00,"@nytimes Biden is a joke, he said that according to the intelligence russia would strike first. So? What other things does their intelligence say?",en,lioncesare77
93,2022-02-15 10:02:47+00:00,"@nytimes only America want them to fight.\nRussia doesn't want war,\nUkraine doesn't want war,\nEurope doesn't want war.",en,serialape_ist
94,2022-02-15 09:48:18+00:00,@nytimes Meanwhile 2 local Greeks in Ukraine killed &amp; others injured by the Ukrainian soldiers...\n\nOf course you don't care about it. Like you don't care about  Orthodox people (like myself) getting persecuted in New York City...\n\nThat's a Crusade against the Orthodoxy!!,en,PlatoNyc
95,2022-02-15 09:46:42+00:00,@nytimes Russia says? And we’re supposed to believe them? If it’s true they’ll be non-combatants not required for the attack on Ukraine,en,djharrison99
96,2022-02-15 09:45:22+00:00,"@nytimes This poor bastard died waiting for the ""imminent invasion"" of Ukraine that western media's promised for months. https://t.co/85cjpUWIxF",en,WakamowBar
97,2022-02-15 09:35:16+00:00,@nytimes Does this look like someone who wants to invade Ukraine tomorrow? Only a rhetorical question..,en,Saauri4
98,2022-02-15 09:33:33+00:00,@nytimes Because China and IOC dont dare fuck with Russia. Russia should never have been ther in the first place. And her life will ve hell when she comes home to Russia! Poor girl is just a pawn at 15 years old.,en,vikingtemedor
99,2022-02-15 09:33:09+00:00,"@nytimes If you're new to international relations, the information here is that the NYT accepts it to be ""drills"" which opens a door for russia to withdraw their troops from the border as it was only ""drills"".",en,netschonwerder
100,2022-02-15 08:48:38+00:00,@nytimes Weed ain't steroids butt holes. Russia doped every fking athlete china we have no idea wtf they're doing? It's a crazy world. If anything weed will be slow down speed.,en,Simonsi84341312
101,2022-02-15 08:36:55+00:00,"@nytimes The ROC is meant to only include Russian athletes that are indisputably clean and going against Russia's state organised drug program, that was the condition of them being allowed to compete. Valieva and her coaches should have been held to a higher standard than other athletes",en,Septimus_ii
102,2022-02-15 08:29:22+00:00,"@nytimes Common! Now that you ran the Russia collusion story so many times and now you know it was. Hillary Clinton operation set up frame up, you can surely report that now can't you?? No, because you have NO integrity!!😂😂😂",en,patriot0888
103,2022-02-15 08:07:52+00:00,"@nytimes ""In any case, Russia has hijacked the Olympics for six consecutive tournaments, robbing clean athletes and the public of opportunities,"" he said, pointing out that the CAS ruling would ""allow Russia to pollute the Olympics again."" Don't hide the positive facts,",en,sD6NaQ0Co8yFSZ3
104,2022-02-15 07:15:51+00:00,"@nytimes Well first of all Russia has a history of cheating and getting away with it against people from all races and ethnicities, for literally decades, so what is she talking about?🤔",en,acthewriter
105,2022-02-15 07:02:23+00:00,@nytimes Maybe because the US wouldn't have use that excuse to invade Ukraine?\n\nJust speculation...,en,itasweire
106,2022-02-15 07:02:20+00:00,"@nytimes If everybody didnt dislike Russians over doping, invading Ukraine will make it unanamous.",en,Kittybox1
107,2022-02-15 06:31:24+00:00,@nytimes Russia and China.,en,RalphKendrick9
108,2022-02-15 06:13:02+00:00,"@nytimes The olympics is a joke and has been for years. Not surprised they are bowing down to Russia. Also, why did they bring it back to China?! Wasn’t there talk of child labor at their last olympics…",en,emmavodick
109,2022-02-15 05:07:06+00:00,@nytimes i remember a hockey player getting axed for cough medication. stop with the racism nonsense. if anything they're scared of russia. they refused to ban them for a full olympics after they tried to fix the whole 2014 games.,en,crocodilius
110,2022-02-15 04:45:25+00:00,"@nytimes Bigger question is why wasn't Russia banned from OG even after IOA found evidence of state sponsored doping at Sochi? This time one thug, Putin, has ganged up with another thug, Xi, to arm wrestle the whole world.",en,hackerappleby
111,2022-02-15 04:30:35+00:00,@nytimes Because China and Russia are allies. Duh.\n\nChina is one of the most corrupt countries in the world.,en,UnpopularViews3
112,2022-02-15 03:44:55+00:00,@nytimes Also I bet the IOC  are hoping Putin will back off Ukraine.,en,padresichiban
113,2022-02-15 03:29:22+00:00,@nytimes Let's remember the IOC also banned the entire country of Russia from competing. But the ROC is technically different and okay.🙄,en,JanervaM
114,2022-02-15 03:21:05+00:00,@nytimes Now the IOC is in bed with Russia and China. What's the rate IOC?,en,SrDonPicho
115,2022-02-15 03:16:07+00:00,"@nytimes All the global organizations are corrupt . Olympics is run by Russia and China , WHO is controlled by CCP. Leaders are spineless .",en,abk77
116,2022-02-15 03:11:09+00:00,@nytimes Once more corruption at the top. Russia was banned for doping. No change. Every athlete knows exactly what they put in their body. A sad joke,en,dceddy
117,2022-02-15 03:09:20+00:00,@nytimes How can they inconvenience a dozen skaters based on one person who shouldn't have been able to even be in the Olympics due to a failed drug test? It doesn't matter whose fault it is. She bears the burden of her country. \nRussia is the most unscrupulous country ever.,en,LarryK1152
118,2022-02-15 03:04:41+00:00,"@nytimes @Sifill_LDF The committee's afraid of Russia. Always has been. And, as you note, you're a black woman. They are wrong, wrong, wrong.",en,NurseKathyB
119,2022-02-15 02:12:43+00:00,"@nytimes Russia, Russia, Russia! Give back  the Pulitzer, you hacks!!!",en,JoeSchmoeXOXO
120,2022-02-15 02:06:08+00:00,"@nytimes front page headline is about Trump lying about how rich he is…while on the same day we learn Clinton hired a hacker to pin Trump to Russia.  You can’t make this sheet up, @nytimes is a hack jobs",en,jeremeybivens
121,2022-02-15 01:54:57+00:00,@nytimes The difference is that the Chinese don’t want to spoil their ally’s big moment. No matter that Russia is in the middle of a multi-year ban for doping as we speak. Neither Russia nor the “Russian Olympic Committee” should be competing at all.,en,Joe_Schmoe337
122,2022-02-15 01:52:52+00:00,@nytimes Nah...its because your american and china and Russia are communists,en,TheTrompeta
123,2022-02-15 01:52:04+00:00,"@nytimes It’s been SEVEN YEARS…SEVEN….since 2015, when trump was exposed conspiring with Russia to steal the presidency, and NOTHING has been done. They can nail someone within seven fcking years. They can’t seal up a case in seven years? Come on",en,JewellE1974
124,2022-02-15 01:40:17+00:00,@nytimes Well the USA is strongly against doping while for Russia it's necessary to compete.,en,lovinglf
125,2022-02-15 01:34:44+00:00,@nytimes Her country didn’t stick up for her like Russia did it’s athletes?,en,sniffingdogg
126,2022-02-15 01:19:36+00:00,"@nytimes Because the Olympics are super corrupt, and super racist, and China and Russia are cozy friends against the West.",en,GuruCowboy
127,2022-02-15 01:13:01+00:00,"@nytimes is worthless partisan bias, liberal to the core, Trump-hating, elite thinking.They can’t investigate cause their brains are lop-sided\n\nNew York Times reporter deflects from Durham probe developments by refueling Russia collusion narrative https://t.co/K3C0mMyEeg #FoxNews",en,susanjsmith2
128,2022-02-15 01:03:00+00:00,"@nytimes Really don't understand this whole Russia thing.  Russia is still banned from the Olympics for past doping scandal, so they apparently regrouped under the flag ""Russia Olympic Committee"" to compete?  This sounds ridiculous to me, but maybe somebody can explain why this is ok.",en,Jane57Lisa
129,2022-02-15 00:55:59+00:00,@nytimes How about you cover the Russia hoax. Wow your lack of coverage is inciting,en,Faseketball
130,2022-02-15 00:54:37+00:00,@nytimes Is the Russia Crisis the reason why she is being given a free pass?,en,JusticeForGame1
131,2022-02-15 00:51:23+00:00,@nytimes What about the fact Kamila is allowed to compete AT ALL since Russia was banned? This ROC nonsense is a farce and its ridiculous.,en,JoeyBKenobi
132,2022-02-15 00:46:49+00:00,@nytimes Bc Russia beats USA?,en,bastivargas
133,2022-02-15 00:44:26+00:00,"@nytimes A win for doping, cheating and Russia. Shame on the Olympic committee.",en,JacquelynAltom1
134,2022-02-15 00:43:15+00:00,@nytimes I would like to know why people are so tolerant of Russia constantly doping.,en,syphburn
135,2022-02-15 00:35:51+00:00,@nytimes Russia’s medals should be taken away. They shouldn’t even be allowed to be there,en,wendy_soxy1girl
136,2022-02-15 00:31:10+00:00,@nytimes She should move to Russia.,en,stripedsuit
137,2022-02-15 00:30:05+00:00,@nytimes Because she's 15. They consider her a child &amp; thus she didn't knowingly take it. Russia appears to have thought that through.,en,RVDBRONCOS
138,2022-02-15 00:06:53+00:00,@nytimes IOC continues to enable Russia doping at the expense of clean athletes.,en,denisewu
139,2022-02-15 00:03:05+00:00,@nytimes The whole Ukraine shenanigan is one to drive oil prices up and two to re-arm NATO so it can flyover and bomb some oil rich country Libya style.,en,actight
0,2022-02-16 23:56:06+00:00,"@nytimes Russia says the opposite of what they intend to do. It’s called reverse psychology. Russians r masters of deception.\n\nIf you’re gullible enough to believe their word, then ur setting yourself up for a big letdown.\n\nUkraine’s in Russia’s bullseye. It’s too tempting not to go in!!",en,BeRealorBeFalse
1,2022-02-16 23:12:28+00:00,@nytimes Offs! She doesn’t have a heart condition!!! That medication would be exempt! Russia again cheating and they know they will get away with it because she’s underaged! Wake up people they are at it again!,en,sharonlou1234
2,2022-02-16 22:22:41+00:00,@nytimes Transcending the rising tensions created exclusively by Russia threatening Ukraine and the world.\n\nBut we'll pretend it's fine. Cause it's Olympics.,en,EmptinessColour
3,2022-02-16 22:22:15+00:00,"@nytimes Nobody cares,\nNot in Russia, \nNot in Ukraine,\nThere is nothing happening \nOnly in the Media 👈",en,AZegsman
4,2022-02-16 22:19:50+00:00,"@nytimes If no rescue? Then why are troops even being deployed? Unless Ukraine is asking for us to be there, then why are we going?",en,ClaytonHonaker
5,2022-02-16 22:14:31+00:00,"@nytimes Surely we have satellites focused on the area and can SEE forces and equipment being removed. Has Put-in become senile, imaging Ukraine would invade Russia?  Is he trying to rally voter support now that he’s incarcerated and killed his opposition? These are Putin’s “war games”.",en,AnnaDye46304310
6,2022-02-16 22:04:23+00:00,"@nytimes If Putin attacks Ukraine unprovoked, he risk dragging Russia into another quagmire of asymmetrical warfare similar to what happened during the Soviet-Afghan &amp; other wars? It could easily spill over into Russia. Why take the risk? Do wars ever go according to plan? Hell no! Putin.",en,JiQed
7,2022-02-16 21:45:36+00:00,@nytimes Heres the short of it. Russia paid off the IOC to cheat.,en,JoshTheDuke
8,2022-02-16 20:55:47+00:00,"@nytimes Russia, if you’re listening you’re abt to get really tough sanctions laid down on you!",en,caschmitt
9,2022-02-16 20:35:45+00:00,"@nytimes Russia gets banned for doping. They deny it and get an exception made to participate as the ROC. Now you'd think the ROC would go above &amp; beyond to ensue their athletes were clean.\n\nBut nope, they're in court getting an exception made for an athlete on PED's.\n\nThe freaking nerve.",en,backpackerSO
10,2022-02-16 20:32:58+00:00,@nytimes Same people who told us Russia was attacking today -,en,NixonandIke
11,2022-02-16 20:27:37+00:00,@nytimes Russia cannot even compete under its own flag due to doping. She should not even be there. And she certainly should not even be competing after failing a drug test. It's unfair to other athletes who don't dope.,en,ToutSuiteSinner
12,2022-02-16 19:53:30+00:00,@nytimes @noonanjo I love it when they do stupid shit actually.. if you wanna know how your enemy will attack you.. pay attention to how they attack your friends.. a tired ass old playbook... in full display for the whole to see.. page by page..\nUkraine is stronger then ever!!!! 🥰,en,PompsAng
13,2022-02-16 19:20:01+00:00,@nytimes What?  He already created a new scenario of a new circus in Ukraine?  Yeah.. He is fast.. Very fast. It will be nice instead to implement quickly a plan that will decrease the skyrocketing gas prices and lower the crime rate. But Biden does not care about his own nation.,en,sgril25
14,2022-02-16 18:48:30+00:00,"@nytimes Absolutely, unequivocally, no doubt about it: BULLSHIT. This lil girl may be in a “coach abuse” situation but we’ll never know. The BOTTOM LINE is that she should not be allowed to compete. PERIOD. How is it that Russia and Doody Putie manage to f up an ages old institution twice",en,ugotfireworks
15,2022-02-16 18:47:40+00:00,"@nytimes Even if someone else does it, Ukraine will say ""Russia is to blame for everything."" 🤣🤣",en,betabw26
16,2022-02-16 18:27:41+00:00,"@nytimes Sure if you dope your athletes like ROC… Russia. This whole things a farce. China judges cheats, #RUSSIA dopes",en,Annie_MB01
17,2022-02-16 18:19:31+00:00,@nytimes The ruse to justify sanctions and retaliation from Russia,en,ENG89480755
18,2022-02-16 18:16:39+00:00,@nytimes 1) What a tone-deaf shit article. Now report on why it’s a “Russian specialty” and why only young teens from Russia are suddenly able to do the quads?,en,SouthOVegas
19,2022-02-16 18:06:25+00:00,@nytimes So Russia did attack yesterday.,en,MetroGuns
20,2022-02-16 18:04:29+00:00,"@nytimes so it's confirmed, New York times is part of the media who promote fake news, example Russia Russia Russia, it was part of Clinton plot, now you say that "" is to complicated to explain"" wow, no words",en,therealbulle1
21,2022-02-16 18:03:03+00:00,"@nytimes The guard also moonlights as an expert epidemiologist, advising people on how best to drink their own urine, and as a special advisor on all things Ukraine.",en,Donald_JDrumpf
22,2022-02-16 17:35:18+00:00,@nytimes DDOS is the most preventable type of 'hack' out there. Ukraine could do better with its networks.,en,Kelly4Crypto
23,2022-02-16 17:26:52+00:00,@nytimes Stevie Wonder can see that it’s Russia,en,quattalbum
24,2022-02-16 17:25:04+00:00,"@nytimes nobody cares, go russia!",en,cogitoergodum
25,2022-02-16 17:14:52+00:00,@nytimes I agree. IOC is corrupt and intimidated by Russia,en,PBMJTSKI
26,2022-02-16 17:07:51+00:00,@nytimes Russia really deserves Ukraine now,en,Ayyyyten
27,2022-02-16 15:52:17+00:00,"@nytimes reporter explained why the paper joined nearly every major media in ignoring blockbuster special counsel charge that @HillaryClinton’s campaign spied on internet traffic at #Trump Tower, Trump’s NYC apt &amp; the #WhiteHouse in an effort to frame Trump as a #Russia stooge.",en,Mr_Pinko
28,2022-02-16 15:42:58+00:00,@nytimes it's all those performance drugs that made her so good. Russia should be banned from Olympics forever. They always use doping.,en,guerritantx
29,2022-02-16 15:42:28+00:00,@nytimes Always have our thumb on the scale when judging Russia and China. Pathetic.,en,HiwattPete
30,2022-02-16 15:34:59+00:00,Kamila Valieva of Russia recently became the first woman to land a quad at the Olympics. The question now is whether she can perform at her usual high caliber after being swept up in a doping scandal that nearly cost her the right to compete in Beijing. https://t.co/K4oVyItWEU https://t.co/QN0wuTNT78,en,nytimes
