,tweetcreatedts,text,language,username
1,2021-12-29 14:09:14+00:00,"@nytimes I, respectfully, submit that Nicholas II can no longer be considered Russia's last czar.",en,moonwatcher1
2,2021-12-29 12:58:50+00:00,"@nytimes So, when is the 'free world' going to sanction China like it did with Russia, Iran, Venezuela, Syria...?\nNever. Because the 'free world' doesn't care about democracy as long as they can make $!",en,Gherardeska
3,2021-12-29 11:50:01+00:00,@nytimes Russia is a crime organisation with a flag and an anthem.,en,TheRedExit1
4,2021-12-29 11:46:45+00:00,"@nytimes Germans are beyond stupid. Russia annexed Crimea, parts of Georgia, at war in the Donbas and your answer is to depend on them for energy. They can cut it at any time and invade and for some reason, you still can't see this?",en,TheStinger8
5,2021-12-29 03:19:21+00:00,"@nytimes Trump compromised national security many times.\nIn fact he sided with Russia every chance he had, never having criticized Putin even once. \nThe American people have the right to know the full extent of Trump’s treachery.\n\nhttps://t.co/8t5S4X3lIw",en,10FathomLine
6,2021-12-29 01:11:00+00:00,@nytimes So Germany wants Russia's oil but they want US troops in case Russia wants to send tanks.\nTalk about wanting to have your cake and eat it too.,en,RictheStick12
0,2021-12-30 21:34:21+00:00,@nytimes Who is Putin to tell NATO and US not to border Russia when he is the one who placed troops on the border of Ukraine?  He wants to take back all the land lost in the downfall of USSR.,en,irishlady77
1,2021-12-30 20:36:10+00:00,"@nytimes Well, if he denied it, it mustn't have happened.  Remember that Putin denied that Russia was involved in the 2016 Presidential Election, and according to Trump, his denial was ""very strong.""  So strong, very strong denials are very exonerating, at least according to Trump.",en,trumpkin_the
2,2021-12-30 19:51:47+00:00,"@nytimes So?They've been living in the atmosphere of constant threats from Russia since day one.\nThey're used to it.\nI suggest you guys see what the Germans are doing now, after they've got the whole EU in the Russian trap called NordStream2. Have they realised their failure? I doubt that",en,ThisThornyRose
3,2021-12-30 19:51:00+00:00,@nytimes Cuz Ukraine has lived with it forever.,en,OrwellAcademy
4,2021-12-30 16:18:12+00:00,@nytimes Russia &amp; Putin = GOP &amp; trump,en,TedWilcox7
5,2021-12-30 12:05:35+00:00,@nytimes Goto Russia,en,Businessiz
6,2021-12-30 05:09:34+00:00,"@nytimes Russia hasn’t experienced a real democracy ever. It’s people are in survival mode - even those in the state-controlled mafia. Reprehensible, and in many ways barbaric. They need to understand that their goose is cooked.",en,cohen_real
0,2021-12-31 22:19:15+00:00,@nytimes Leave Russia be China is the real threat,en,robert05torres
1,2021-12-31 21:16:54+00:00,@nytimes With the world continuing to deal with Covid why would Russia want to start a war??? Enough people are already dying…,en,kona1745
2,2021-12-31 20:29:32+00:00,@nytimes Russia has been saying they don’t want war. Yet they built up a huge military presence on Ukraine’s border and they keep saying the west (U.S.) is making them do it. WTF Putin?  Admit you’ve been long planning a hostile takeover of Ukrainian.,en,BradFroman2
3,2021-12-31 20:11:08+00:00,"@nytimes Does Russia really have the capacity for war? If so, why now?",en,DJ_da_Gemini
4,2021-12-31 19:56:35+00:00,@nytimes In the real universe world wide foreign ministers accuse Russia of stoking war in the Ukraine by Russia massing troops at Russian/Ukraine border.,en,nicmichelakos1
5,2021-12-31 19:50:24+00:00,"@nytimes your readers poorly understand situation in Ukraine as can't read anything here excepting selected lie. 7 years civil war continues, 2 times nazis, that grabbed state power in Kiev, tried to take control over rebel territories. 7 years washington swamp supports Kiev nazis.",en,jay_sixth
6,2021-12-31 19:38:49+00:00,"@nytimes The ""crisis"" on the Ukraine border is manufactured by Putin and his goons in an attempt to end financial sanctions for their annexation of Crimea.",en,ItsOkayByMe
7,2021-12-31 19:37:07+00:00,@nytimes While the citizens of Russia are sick and dying from covid,en,murrayjohnsonjr
8,2021-12-31 17:24:06+00:00,@nytimes i think what he means is he is going to invade ukraine no matter what… just looking for any excuse to blame the “west”,en,RealityNewsBeat
9,2021-12-31 16:47:43+00:00,"@nytimes Strange that so many people can't see things from Russia's perspective. Russia sees NATO as a threat. While one can understand why NATO and ex-Soviet states seek NATO expansion to enhance their security, at some point it will trigger a Russian reaction. And it has.",en,TanYanYee5
10,2021-12-31 16:22:10+00:00,"@nytimes Man, we need to sanction the CRAP out of Russia. That’s really what irritates Putin the most!  Biden does need to become a hard ass now!",en,GreenlawBetsy
11,2021-12-31 16:09:11+00:00,"@nytimes Putin just told him that he is not stupid to attack Ukraine, that is what US wants and they failed at this game.",en,Sayedhashimi11
12,2021-12-31 15:46:42+00:00,@nytimes Good. Throw the kitchen sink at them. Put NATO forces on the Ukraine border,en,sharpercheese
13,2021-12-31 15:12:38+00:00,"@nytimes A better way to say it is that if #VladimirPutin were to take new military against #Ukraine, it would result in a  “complete rupture” of relations between the two nuclear superpowers. Putin always attempts to spin others as being responsible for his own aggression &amp; repercussions",en,US_Muckraker
14,2021-12-31 15:00:04+00:00,@nytimes Putin / KGB et Al threaten the rest of the world. Putin should be working for the impoverished people of Russia. Billions of $ spent on weapons of war instead of building a better Russia. Enough despots in the world!,en,MoranojDonal
15,2021-12-31 11:38:58+00:00,@nytimes I think “new military action against Ukraine” would have already accomplished that🧨!,en,railtonmark
16,2021-12-31 09:23:15+00:00,"@nytimes Tornados , Fire , snow =  EARTH WATER AIR &amp; 17 foot of snow in  @CAgovernor #russia about to go up in #UkraineWillResist - inflation &amp; crime &amp; FEAR #COVID19 &amp; the REALITY of #Fauci has JUST DESTROYED the mental stability of my LAND = GOOD BYE 2021. @ToddPiro @CarleyShimkus",en,JosephT19185521
17,2021-12-31 08:41:02+00:00,"@nytimes Imagine a coordinated Chinese and Russian ""incursion"" into Taiwan and Ukraine, respectively. What would Biden do? Is the Pentagon still capable of fighting ""two major wars simultaneously"" as US military doctrine demands?",en,Dr_Clandestine
18,2021-12-31 07:41:21+00:00,"@nytimes Well stop trying to take Ukraine\nThey are their own country, why is Russia trying to get bigger. Russia is already big and has lots of problems to be invading others.",en,greenmintsss
19,2021-12-31 04:03:24+00:00,@nytimes It’s time to bring Russia on her knees as we did for USSR.,en,InfoAeroQuebec
20,2021-12-31 03:43:45+00:00,"@nytimes If he’s warning that, the relationship is already ruptured. Tell the fucker if he invades Ukraine, NATO will retaliate in the strongest possible way",en,bones_mc_coy
21,2021-12-31 03:24:33+00:00,"@nytimes can't keep our airports     ......      but we  can  run  noko , china , russia , afghan , iraq  , syria . libya  on    &amp;  on  &amp; on  ...",en,monkeysfly51
22,2021-12-31 03:22:55+00:00,@nytimes if we  f==k  with russia             napoleon    /    hitler,en,monkeysfly51
23,2021-12-31 03:11:03+00:00,@nytimes Who cares…Russia is nothing. They aren’t going to nuke us over sanctions. He’s all talk.,en,britton773
