"","X","Date","text"
"41",40,"2022-04-29 17:30:01+00:00","Mayorkas won't name 1 domestic terror, White supremacy case referred to DOJ

https://t.co/BLCw8DZsD0"
"42",41,"2022-04-29 17:20:00+00:00","Reporter reveals why they're afraid to go after Psaki: 'Makes you look like an a--hole'

https://t.co/FP5UiIWFip"
"43",42,"2022-04-29 17:10:00+00:00","DeSantis hits back at Biden's ‘book burning’ comment: ‘We want education, not indoctrination’

https://t.co/RRA11LK9eQ"
"44",43,"2022-04-29 17:00:01+00:00","McCarthy calls on Biden to disband disinformation board

https://t.co/OtzLJ4Pz4r"
"45",44,"2022-04-29 16:50:00+00:00","DeSantis pledges to fight back against Biden disinfo board

https://t.co/RJStiw7mMJ"
"46",45,"2022-04-29 16:40:00+00:00","Liberal media, watchdogs 'utterly asleep at their keyboards' on Biden’s Disinformation Governance Board

https://t.co/cQVXc519zk"
"47",46,"2022-04-29 16:30:00+00:00","OPINION: Elon Musk is threat to our democracy cries Elizabeth Warren as she works to undermine it

https://t.co/LAwsjaqGY5"
"48",47,"2022-04-29 16:20:00+00:00","DeSantis blasts Disney execs’ attack on parents: 'Walt Disney would not want that'

https://t.co/3jsiuvEAEB"
"49",48,"2022-04-29 16:10:00+00:00","DOUBLE FAULT: Tennis legend sentenced to prison over bankruptcy ordeal

https://t.co/KeywzBT6rI"
"50",49,"2022-04-29 16:00:00+00:00","'GOD HELP US': Twitter users shocked by ‘ridiculous’ TikTok of new ‘disinformation czar’ singing

https://t.co/k2zndfcD4e"
"51",50,"2022-04-29 15:50:00+00:00","Dog jumps from window to escape Pennsylvania house fire

https://t.co/W3Q4Rra1fA"
"52",51,"2022-04-29 15:40:00+00:00","Jack Brewer files police report on Joy Reid for putting kids in ‘danger,’ demands apology 

https://t.co/h6RYXrhTJQ"
"53",52,"2022-04-29 15:30:00+00:00","'NO ANSWERS': GOP rep grills Biden's secretary of state over Ukraine 'lies'

https://t.co/cjTc7MZHZ1"
"54",53,"2022-04-29 15:20:00+00:00","NBC op-ed blasts efforts to curb youth 'gender-affirming' surgeries, blames GOP 'cultural authoritarianism'

https://t.co/7iStJQ4164"
"55",54,"2022-04-29 15:10:00+00:00","Ukraine war: International Planned Parenthood Fed. provides abortion pills, rape kits to victims of invasion

https://t.co/h6RYXrzuBo"
"56",55,"2022-04-29 15:00:01+00:00","'HIJACKED BY EXTREMISTS': Liberals lose it after Elon Musk's tweets about the Democratic Party

https://t.co/Tds70utcIR"
"57",56,"2022-04-29 14:50:00+00:00","Oregon sheriff 'absolutely disgusted' over progressive governor granting clemency to 'cold-blooded killer'

https://t.co/rqdisGhw7h"
"58",57,"2022-04-29 14:40:00+00:00","Biden admin was 'actively encouraging' states to use COVID money to push CRT, says One Nation president

https://t.co/DgC1tSWB08"
"59",58,"2022-04-29 14:30:00+00:00","Indiana's attorney general sues Black Lives Matter over its use of donations

https://t.co/yzbOINI7yF"
"60",59,"2022-04-29 14:20:00+00:00","White House communications director tests positive for COVID

https://t.co/Wg5bXxmfXv"
"61",60,"2022-04-29 14:00:01+00:00","WHO'S NEXT?: A look at the celebs yet to testify in the Johnny Depp trial

https://t.co/KNVAeLSnAB"
"62",61,"2022-04-29 13:50:00+00:00","West Memphis police slam 'heinous' murder accusation after man jumps from bridge

https://t.co/08mkq0Rs2y"
"63",62,"2022-04-29 13:40:00+00:00","Putin's war claims U.S. embassy security guard in Kyiv

https://t.co/InU7lQ5nE2"
"64",63,"2022-04-29 13:30:00+00:00","'LIKE A SON TO JOE': President Biden's close relationship with Hunter associate who led company with China ties exposed

https://t.co/H4EGnAWpu0"
"65",64,"2022-04-29 13:20:00+00:00","OPINION: I'm a dad who wants schools to teach kids how to read—not how to be gender fluid

https://t.co/xD9n3KTsxF"
"66",65,"2022-04-29 13:10:00+00:00","Rep. Mast grills Blinken over 'lies' on Ukraine: 'He gave no answers'
https://t.co/cjTc7MZHZ1"
"67",66,"2022-04-29 13:00:02+00:00","Lara Trump on 'Fox &amp; Friends First': Biden's 'Ministry of Truth' is very concerning
https://t.co/6tZKxusCTZ"
"68",67,"2022-04-29 12:50:00+00:00","Storm forecast to threaten Plains as Northeast experiences below-average temperatures
https://t.co/kdJswHD8uN"
"69",68,"2022-04-29 12:40:00+00:00","Buzzkill: Ford might put screen doors on the Bronco
https://t.co/DBEtwYNAnG"
"70",69,"2022-04-29 12:30:01+00:00","Putin to attend G20 summit, Indonesia says; Zelenskyy also invited
https://t.co/Ee28NADWGm"
"71",70,"2022-04-29 12:10:00+00:00","FedEx employee charged after allegedly stealing package with iPads, police say
https://t.co/X3S3oO2cEt"
"72",71,"2022-04-29 12:00:02+00:00","MSNBC, other liberal outlets repeatedly paint opponents, conservatives as 'fascists' to viewers
https://t.co/3lQ0nBp7m4"
"73",72,"2022-04-29 11:50:00+00:00","Immigration nears top of list of urgent issues for Americans, overtaking Ukraine: poll
https://t.co/V07WH70zQR"
"74",73,"2022-04-29 11:40:00+00:00","Garland, Rep. Garcia spar over 'enormously concerning' crime spike
https://t.co/jYzjfq42He"
"75",74,"2022-04-29 11:30:00+00:00","Mayorkas testifies more than 389,000 migrant ‘gotaways’ at border
https://t.co/wCLsHojgW5"
"76",75,"2022-04-29 11:20:00+00:00","NFL Draft: Giants' Adoree' Jackson reveals how rookies can earn respect in locker room, talks own experience
https://t.co/AFe35CnXFt"
"77",76,"2022-04-29 11:10:00+00:00","Dem Title 42 compromise being 'worked on,' Hoyer and Schumer say, as moderates seek distance from White House
https://t.co/w38VfcOFwZ"
"78",77,"2022-04-29 11:00:02+00:00","4-year-old gets a new heart for his birthday: 'Eternally grateful'
https://t.co/3kl941296p"
"79",78,"2022-04-29 10:50:00+00:00","Hunter Biden associate visited Obama-Biden White House 7 times after becoming head of company with CCP ties
https://t.co/H4EGnAWpu0"
"80",79,"2022-04-29 10:40:00+00:00","Zelenskyy to launch operation to evacuate civilians in Mariupol steel plant Friday
https://t.co/THOz1vitNs"
"81",80,"2022-04-29 10:30:08+00:00","DOJ sues former Trump campaign chair Paul Manafort for $3M on tax evasion, bank fraud https://t.co/b3VYgQBR8T"
"82",81,"2022-04-29 10:30:00+00:00","Biden student debt cancellation may worsen inflation; US Marine vet dies fighting alongside Ukrainians
https://t.co/GJeeF7AEMX"
"83",82,"2022-04-29 10:20:00+00:00","DOJ sues former Trump campaign chair Paul Manafort for $3M on tax evasion, bank fraud
https://t.co/7iyLcHYfLe"
"84",83,"2022-04-29 10:15:06+00:00","British Virgin Islands premier arrested by DEA in Miami on drug smuggling charges https://t.co/6etmSFyB6p"
"85",84,"2022-04-29 10:10:00+00:00","British Virgin Islands premier arrested by DEA in Miami on drug smuggling charges
https://t.co/koyvlqaAEa"
"86",85,"2022-04-29 10:00:17+00:00","3 California Highway Patrol officers injured in fiery freeway crash https://t.co/l0FLSxUVVO"
"87",86,"2022-04-29 10:00:03+00:00","3 California Highway Patrol officers injured in fiery freeway crash
https://t.co/zPHcmvCJHM"
"88",87,"2022-04-29 09:45:06+00:00","OPINION: I'm a dad who wants schools to teach kids how to read—not how to be gender fluid https://t.co/hoBJN5RRwL"
"89",88,"2022-04-29 09:30:16+00:00","Children’s book about Rush Limbaugh aims to teach kids importance of First Amendment https://t.co/fWWf1B0ZwK"
"90",89,"2022-04-29 09:15:02+00:00","GROWING WINGS: Billionaire @elonmusk appears ready to fly far away from the Democratic Party as he faces barrage of criticism from the Left over Twitter acquisition. https://t.co/TN9aro84SZ"
"91",90,"2022-04-29 09:00:16+00:00",".@GovRonDeSantis on Florida's surgeon general: If you're being attacked by media, I know you're doing a hell of a job https://t.co/hd18AFNoKg"
"92",91,"2022-04-29 08:45:02+00:00","Depp-Heard defamation trial: A look at the celeb witnesses still set to testify https://t.co/mfqpGTmxCI"
"93",92,"2022-04-29 08:30:09+00:00","Saudis would develop bomb 'the next day' if Iran nuclear deal led to weapons capability: experts https://t.co/qrEGSp32p4"
"94",93,"2022-04-29 08:15:06+00:00","Rush Limbaugh, Tiger Woods among the most successful college dropouts of our time https://t.co/bxR5ITdBgn"
"95",94,"2022-04-29 08:00:10+00:00",".@GovRonDeSantis warns Biden: If you caravan illegal migrants to Florida, we'll reroute them to Delaware https://t.co/cWmVfiS6CC"
"96",95,"2022-04-29 07:45:03+00:00","Experts slam NYT's claim legal gun sales partly to blame for rapid increase in violent crime https://t.co/rVTGaDFYoT"
"97",96,"2022-04-29 07:30:14+00:00","Jaguars select Travon Walker: What to know about the 2022 NFL Draft's No. 1 pick https://t.co/wnN9KV3JN8"
"98",97,"2022-04-29 07:15:11+00:00","LA DA George Gascon causing ‘havoc and mayhem,’ recall effort will be a 'photo finish,' deputy DA says https://t.co/BosH4jMqRM"
"99",98,"2022-04-29 07:00:05+00:00",".@GovRonDeSantis blasts Disney execs’ attack on parents: 'Walt Disney would not want that' https://t.co/LwG0dhhynE"
"100",99,"2022-04-29 06:50:07+00:00","Chipotle CFO weighs in on inflation, calls it 'one of the most challenging environments to predict' https://t.co/NbxonJ1n2B https://t.co/e6QwLYMXtO"
"101",100,"2022-04-29 06:45:05+00:00","Colorado reports first human case of H5 bird flu in US in poultry worker https://t.co/ycDGpUhrE9"
